Instancia,Opt_Veh,Opt_Dist,Run1_Veh,Run1_Dist,Run2_Veh,Run2_Dist,Run3_Veh,Run3_Dist,Run4_Veh,Run4_Dist,Run5_Veh,Run5_Dist,Run6_Veh,Run6_Dist,Run7_Veh,Run7_Dist,Run8_Veh,Run8_Dist,Run9_Veh,Run9_Dist,Run10_Veh,Run10_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP,Avg_Time(s)
C101,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,16.72
C102,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,16.49
C103,10.0,828.06,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,10.00,0.000,828.07,828.07,0.00,0.00,0.00,0.00,19.71
C104,10.0,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,10.00,0.000,824.78,824.78,0.00,0.00,-0.00,-0.00,23.82
C105,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,21.08
C106,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,24.35
C107,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,25.10
C108,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,24.57
C109,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,23.75
C201,3.0,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00,19.00
C202,3.0,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00,19.92
C203,3.0,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,3.00,0.000,591.17,591.17,0.00,0.00,0.00,0.00,22.43
